,時間,ID,カテゴリー,件,掲載名,フリガナ,電話番号,FAX番号,住所,アクセス,駐車場,現金以外の支払い方法,ホームページ,E-mailアドレス,業種,営業時間,休業日,予約
10,2018-10-22 13:56:07.116516,137785325164351550,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,東建コーポレーション株式会社日野支店,トウケンコーポレーションカブシキガイシャヒノシテン,042-582-6500※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-582-6515,（〒191-0053）東京都日野市豊田２丁目３３－６地図,その他ラウレア１Ｆルート案内,－,有,東建コーポレーション（土地活用のご相談）http://www.token.co.jpＰＣ・ケータイ版ホームメイト（お部屋探し）http://www.homemate.co.jpスマートフォン版ホームメイト（お部屋探し）http://s.homemate.co.jp/,お問い合わせ、パンフレットのご請求など728@token.co.jp,アパート管理、アパート業、アパート（学生向）、ウィークリー・マンスリー賃貸マンション、貸事務所、貸倉庫、貸店舗、建設業、不動産管理、不動産取引、マンション管理、マンション（学生向）、マンション賃貸業、リフォーム,10:00～18:30,水曜日（祝日は営業）,－
11,2018-10-22 13:56:07.577465,139003994100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,東急リバブル株式会社／売買部門／大井町センター,トウキュウリバブルカブシキガイシャ／バイバイブモン／オオイマチセンター,03-3774-74110120-974322※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3774-7419,（〒140-0014）東京都品川区大井１丁目２２－５地図,鉄道ＪＲ京浜東北、臨海線・大井町駅徒歩3分東急大井町線・大井町駅徒歩3分その他八木ビル１階ルート案内,店舗隣接の時間貸し駐車場をご利用下さい,－,東急リバブルホームページhttp://www.livable.co.jp/土地・物件の売買なら大井町センターhttp://www.livable.co.jp/ohimachi/,不動産の売買に関するご相談お気軽にどうそohimachi@tokyu.livable.co.jp,中古住宅売買、土地売買、分譲住宅、事務所売買、建物売買、不動産取引、マンション賃貸業、アパート（学生向）、貸家,10:00～18:00,火曜日、水曜日,－
12,2018-10-22 13:56:08.135306,135138432100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社和泉ハウジング,カブシキガイシャイズミハウジング,03-3323-5131※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3323-5132,（〒168-0062）東京都杉並区方南１丁目２３－３地図,鉄道京王線・笹塚駅徒歩10分京王線・代田橋駅徒歩10分丸ノ内線・方南町駅・環七出口徒歩12分ルート案内,無,お取り扱いしておりません,http://www.izumi-hg.co.jp/,h.goto@eagle.ocn.ne.jp,アパート業、アパート（学生向）、貸事務所、貸店舗、中古住宅売買、土地売買、不動産取引、マンション賃貸業,,水曜日,－
13,2018-10-22 13:56:08.601128,132883233136051490,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,昭和観光株式会社,ショウワカンコウカブシキガイシャ,03-3916-7331※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3916-7500,（〒114-0023）東京都北区滝野川７丁目４９－１－２Ｆ地図,鉄道都営地下鉄三田線・西巣鴨駅大正大学出口徒歩7分ＪＲ埼京線・板橋駅滝野川出口徒歩9分バス都バス・掘割停留所・徒歩3分都バス・上池袋4停留所・徒歩3分車明治通り・王子から約10分明治通り・東池袋から約10分その他明治通り、滝野川桜通り、滝野川7丁目交差点角昭観ビル2階ルート案内,無,VISA・MasterCard,▼詳しくは昭和観光株式会社のＨＰをご覧下さい。http://www.shouwakankou.com/▼昭和観光株式会社のお問合せフォーム！http://www.shouwakankou.com/form/index.html,info@shouwakankou.com,旅行業,平日（月曜～金曜）09:00～18:00,土曜日・日曜日・祝日・年末年始・夏休み,－
14,2018-10-22 13:56:09.109727,133193447100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,遠藤住建株式会社,エンドウジュウケンカブシキガイシャ,042-371-1100※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-374-5284,（〒206-0033）東京都多摩市落合１丁目１－９地図,鉄道京王相模原線、小田急多摩線・多摩センター駅徒歩7分多摩都市モノレール線・多摩センター駅徒歩8分その他多摩ニュータウン通り沿上之根橋交差点際ルート案内,有,お取り扱いしておりません,遠藤住建株式会社ホームページhttp://www.endojyuken.co.jp/,info@endojyuken.co.jp,建設業、建築工事、不動産取引、分譲住宅、リフォーム,,－,－
15,2018-10-22 13:56:09.589715,139780244132150040,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社ＩＥＹＡ,カブシキガイシャイエヤ,0120-141814※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3413-2428,（〒154-0004）東京都世田谷区太子堂４丁目４－１地図,鉄道東急田園都市線・三軒茶屋駅から徒歩3分ルート案内,－,－,HPもご覧下さいhttp://ieya.jp/賃貸サイトはこちらをご覧下さいhttp://ieya.jp/rental/,メールでのお問い合わせはこちらからinfo@ieya.jp,貸事務所、貸店舗、貸ビル、住宅コンサルタント、建物売買、駐車場、土地管理、土地賃貸、土地売買、土地分譲、不動産管理、不動産コンサルタント、不動産取引、分譲住宅、マンション賃貸業、マンション分譲,10:00～19:00,水曜日,－
16,2018-10-22 13:56:10.072735,131315643173651330,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,センチュリー２１住宅工営販売,センチュリートゥエンティワンジュウタクコウエイハンバイ,042-621-44210120-339021※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-621-4431,（〒192-0073）東京都八王子市寺町６９地図,鉄道ＪＲ中央線「八王子駅」徒歩5分ルート案内,有,お取り扱いしておりません,http://www.jutakukouei.co.jp,info@c21jk.com,住宅販売、建物売買、土地売買、土地分譲、不動産取引、マンション分譲,09:00～20:00,水曜日,－
17,2018-10-22 13:56:10.486166,510000000000022225,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,有限会社花澤工務店,ハナザワコウムテン,042-391-5654※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-392-6915,（〒189-0025）東京都東村山市廻田町４丁目２０－１０地図,鉄道西武線・東村山駅ルート案内,有,お取り扱いしておりません,－,－,建築工事、建築設計、リフォーム、介護リフォーム、耐震工事、大工工事、大工職、木造建築工事、造作大工、フローリング工事、床工事、リノベーション、内装工事、家具修理・再生、建具工事、木製品塗装、屋根工事、建築板金業、雨どい工事、建築塗装、塗装、塗装工事、かわら屋根工事、防水工事、配管工事、タイル工事、壁紙工事、壁紙・ふすま紙、管工事、給排水設備工事、衛生設備・陶器、衛生設備工事、アルミ建材、エクステリア工事、ブロック工事、風呂釜・浴槽、外壁工事、障子張り、左官業、漆くい工事、建設業、建売業、建具取付,お電話受付　月曜～土曜　08：00～18：00,日曜日、※作業日時についてはお客様のご都合に合わせます。,－
18,2018-10-22 13:56:10.937421,139062025127351360,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,サトウＦＰ行政書士事務所,サトウエフピーギョウセイショシジムショ,03-3361-9305※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3361-9305,（〒169-0075）東京都新宿区高田馬場３丁目２８－６－５０１地図,鉄道西武新宿線・下落合駅徒歩5分ＪＲ線・地下鉄東西線・高田馬場駅徒歩15分その他ＫＴサトウ501ルート案内,－,お取り扱いしておりません,サトウＦＰ行政書士事務所のホームページですhttp://www.venus.dti.ne.jp/~mmsato/サトウＦＰ行政書士事務所のブログですhttp://ameblo.jp/tasogaremankan,お問い合わせメールアドレスですmmsato@venus.dti.ne.jp,行政書士事務所、マンション管理、マンション管理士,09:00～19:00,年中無休,－
19,2018-10-22 13:56:11.357458,138245850124920550,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,テイクス・エステート,テイクスエステート,03-3342-1611※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3342-1612,（〒160-0023）東京都新宿区西新宿１丁目１１－１２地図,鉄道ＪＲ線・新宿駅・西口出口徒歩1分小田急線・新宿駅・西口出口徒歩1分ルート案内,無,お取り扱いしておりません,詳しくはホームページをご覧下さい。http://www.ts-e.net/,お気軽にお問い合わせ下さい。info@ts-e.net,アパート管理、アパート業、アパート（学生向）、ウィークリー・マンスリー賃貸マンション、貸事務所、貸倉庫、貸店舗、貸ビル、貸家、事務所売買、住宅販売、建物売買、中古住宅売買、土地管理、土地賃貸、土地売買、ビル管理、不動産管理、不動産取引、分譲住宅、マンション管理、マンション（学生向）、マンション賃貸業、マンション分譲,,年末年始,－
20,2018-10-22 13:56:11.934933,133055815188631010,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,東建コーポレーション株式会社あきる野支店,トウケンコーポレーションカブシキガイシャアキルノシテン,042-532-3500※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-532-3501,（〒197-0804）東京都あきる野市秋川５丁目６－１地図,－,4台,有,東建コーポレーション（土地活用のご相談）http://www.token.co.jpＰＣ・ケータイ版ホームメイト（お部屋探し）http://www.homemate.co.jpスマートフォン版ホームメイト（お部屋探し）http://s.homemate.co.jp/,お問い合わせ、パンフレットのご請求など140@token.co.jp,アパート管理、アパート業、アパート（学生向）、ウィークリー・マンスリー賃貸マンション、貸事務所、貸倉庫、貸店舗、建設業、不動産管理、不動産取引、マンション管理、マンション（学生向）、マンション賃貸業、リフォーム,10:00～18:30,水曜日（祝日は営業）,－
21,2018-10-22 13:56:12.405074,130227338100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社東栄,カブシキガイシャトウエイ,0422-41-2110※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,0422-42-1651,（〒181-0013）東京都三鷹市下連雀３丁目２２－５地図,鉄道ＪＲ中央線・地下鉄東西線・三鷹駅南口徒歩3分ルート案内,－,－,http://www.mitakatoei.co.jp/,info@mitakatoei.co.jp,アパート（学生向）、貸事務所、貸店舗、貸ビル、月極駐車場、不動産管理、不動産取引、マンション（学生向）,10時～18時30分,水曜日,－
22,2018-10-22 13:56:12.859217,131073639002360850,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社駒光,カブシキガイシャコマミツ,03-6903-7801※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-6903-7802,（〒170-0003）東京都豊島区駒込３丁目５－７地図,鉄道ＪＲ山手線・東京メトロ南北線・駒込駅から3分ルート案内,－,－,▼不動産情報は駒光HPをご覧下さいhttp://www.komamitsu.com/,▼物件情報等、駒光へのお問い合わせはこちらからkomamitsu357@yahoo.co.jp,アパート（学生向）、ウィークリー・マンスリー賃貸アパート、ウィークリー・マンスリー賃貸マンション、貸事務所、貸店舗、貸家、高齢者向け賃貸住宅、シェアハウス、事務所売買、住宅コンサルタント、住宅販売、建物売買、中古住宅売買、注文住宅販売、月極駐車場、土地賃貸、土地売買、バイク駐車場、不動産管理、不動産コンサルタント、不動産取引、分譲住宅、別荘分譲、保険、マンション（学生向）、マンション賃貸業,,水曜日,－
23,2018-10-22 13:56:13.304523,135923624102380060,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,東急リバブル株式会社田園調布センター,トウキュウリバブルカブシキガイシャデンエンチョウフセンター,0800-170310903-6870-6109※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-6870-6077,（〒145-0071）東京都大田区田園調布２丁目４９－１６地図,鉄道東急東横線・東急目黒線・田園調布駅徒歩1分その他RK-III１階ルート案内,－,－,最新物件はホームページでどうぞhttps://www.livable.co.jp/branch/denenchofu/,－,高齢者向け分譲住宅、住宅コンサルタント、住宅販売、建物売買、中古住宅売買、土地売買、土地分譲、不動産管理、不動産コンサルタント、不動産取引、分譲住宅、マンション分譲,,火曜日、水曜日,－
24,2018-10-22 13:56:13.764353,133145553101661730,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,株式会社エヌアイ建設,カブシキガイシャエヌアイケンセツ,042-580-3611※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-580-3612,（〒186-0003）東京都国立市富士見台１丁目１７－２１地図,鉄道JR南武線・谷保駅より徒歩1分ＪＲ中央線・国立駅南口より徒歩２７分ルート案内,－,－,▼詳しくはこちらをご覧くださいhttp://n-i.jpn.org/,enuai@gol.com,エクステリア工事、介護リフォーム、外壁工事、壁紙工事、建設業、建築設計、建築塗装、住宅コンサルタント、大工工事、大工職、建物売買、塗装、塗装工事、土地売買、内装工事、フローリング工事、防水工事、マンション賃貸業、木造建築工事、屋根工事、床工事、リフォーム,08:30～18:00,日曜日、祝日,－
25,2018-10-22 13:56:14.253734,131398953100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,東都ビル株式会社,トウトビルカブシキガイシャ,03-3585-0007※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3585-0010,（〒107-0052）東京都港区赤坂３丁目２１－１５地図,鉄道銀座・丸の内・半蔵門・南北・有楽町線・赤坂見附駅・弁慶出口徒歩1分東京メトロ　千代田線・赤坂駅・1番出口徒歩5分車赤坂見附交差点から1分その他青山通りから一ツ木通りを入り30ｍ／東都赤坂ビル内ルート案内,無,お取り扱いしておりません,－,info@touto.co.jp,貸ビル、ビル管理、マンション賃貸業,月～金10:00～18:00,土・日祝日、年末年始,－
26,2018-10-22 13:56:14.720154,134571558100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,清瀬不動産有限会社,キヨセフドウサンユウゲンガイシャ,042-491-6656,042-493-2240,（〒204-0022）東京都清瀬市松山１丁目２４－１地図,鉄道西武池袋線・清瀬駅南口より徒歩3分ルート案内,有,－,－,清瀬不動産へのメールはこちらinfo@kiyose.com,アパート業、アパート（学生向）、貸事務所、貸店舗、貸ビル、貸家、高齢者向け賃貸住宅、高齢者向け分譲住宅、シェアハウス、事務所売買、住宅コンサルタント、住宅販売、建物売買、中古住宅売買、駐車場、注文住宅販売、月極駐車場、土地管理、土地賃貸、土地売買、土地分譲、バイク駐車場、ビル管理、ビルメンテナンス、不動産コンサルタント、不動産投資顧問業、不動産取引、分譲住宅、マンション（学生向）、マンション賃貸業、マンション分譲,10:00～18:00事前にご連絡いただければ対応可能です。,木曜日,－
27,2018-10-22 13:56:15.146289,136778716100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,有限会社扇屋商事,ユウゲンガイシャオオギヤショウジ,03-3945-0911※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3947-0555,（〒170-0002）東京都豊島区巣鴨１丁目１８－１１地図,鉄道山手線・巣鴨駅徒歩1分都営三田線・巣鴨駅徒歩1分ルート案内,無,お取り扱いしておりません,◆詳しくはこちらをご覧下さいhttp://www.ougiya.co.jp,info@ougiya.co.jp,不動産取引,,日曜日,－
28,2018-10-22 13:56:15.586343,520000046652420001,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,住友不動産販売株式会社虎ノ門営業センター,スミトモフドウサンハンバイカブシキガイシャトラノモンエイギョウセンター,0120-136375,－,（〒105-0003）東京都港区西新橋１丁目１０－２地図,鉄道東京メトロ銀座線虎ノ門駅1番出口徒歩4分都営三田線内幸町駅A3出口徒歩3分JR山手線新橋駅日比谷口徒歩7分ルート案内,,,▽住友不動産販売株式会社虎ノ門営業センター店舗ページhttps://www.stepon.co.jp/center/toranomon/,－,住宅販売、建物売買、中古住宅売買、土地売買、土地分譲、不動産管理、不動産取引、分譲住宅、マンション分譲,,火曜日、水曜日,
29,2018-10-22 13:56:16.062230,130024477100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,学園土地株式会社,ガクエントチカブシキガイシャ,042-572-1161※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,042-572-1163,（〒185-0034）東京都国分寺市光町１丁目４３－１地図,鉄道ＪＲ中央線・国立駅北口徒歩2分車中央高速・国立・府中インターから10分ルート案内,お客様用１台分有り,お取り扱いしておりません,○詳細はホームページをご覧下さい。http://www.gakuentochi.co.jp,○お問い合せ・ご質問はこちらからgakuen@cg.mbn.or.jp,貸事務所、貸店舗、貸家、住宅コンサルタント、駐車場、月極駐車場、土地管理、土地賃貸、不動産取引,,毎週水曜日、第1・第3・第5日曜日,－
30,2018-10-22 13:56:16.516276,137605703100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,中西屋パーキング,ナカニシヤパーキング,0120-30344503-3446-4590※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-3446-4560,（〒150-0013）東京都渋谷区恵比寿１丁目２１－１４地図,鉄道ＪＲ山手線・恵比寿駅・東口出口徒歩5分ＪＲ埼京線・恵比寿駅・東口出口徒歩5分日比谷線・恵比寿駅・1番出口徒歩7分車首都高速・天現寺から5分その他スバル303またはＺＥＳＴのすぐ裏手にございます。中西屋パーキングビルルート案内,281台　駐車料金　有料,お取り扱いしておりません,グロウアズコーポレーション　駐車場・トランクルームhttp://www.growas.comお問い合わせフォームhttp://www.growas.com/contact.html,どんな事でもお気軽にご相談ください。office@growas.com,駐車場、月極駐車場,月極のお客様　24Ｈ00:00～24:00時間貸しのお客様06:00～事務所08:00～20:00年中無休,土曜日、日曜日、祝日、※駐車場は年中無休,－
31,2018-10-22 13:56:16.995769,130010596100000899,東京都の不動産のお店・施設を探す 19802件,1-50件/19802件,三富住販株式会社,ミツトミジュウハンカブシキガイシャ,03-5566-4844※お問い合せの際、「iタウンページ」を見たとお伝えになるとスムーズです,03-5566-4880,（〒104-0033）東京都中央区新川２丁目２１－１６－４０６地図,鉄道東京メトロ日比谷線、ＪＲ京葉線・八丁堀駅・Ｂ4出口徒歩2分その他グランドハイツ八丁堀4Ｆ406ルート案内,無,お取り扱いしておりません,－,お問い合わせはこちらからどうぞ。mitsutomiju-han@nifty.com,貸事務所、貸店舗、貸ビル、建物売買、中古住宅売買、駐車場、月極駐車場、土地管理、土地賃貸、土地売買、不動産取引,09:00～19:00,日曜日、祝日,－
